"","ea","mi","english","work","no"
"1",0,0,2,4,34
"2",1,1400,2,2,34
"3",3,1226,2,2,34
"4",4,0,1,8,34
"5",1,1700,2.25,2,34
"6",0,0,1.5,8,34
"7",0,0,1,4,34
"8",1,1550,2,2,34
"9",3,0,2,4,34
"10",1,1590,3,2,34
"11",0,0,2,4,34
"12",1,0,1.5,4,34
"13",0,0,2,4,34
"14",0,0,1,4,34
"15",1,0,1.5,4,34
"16",1,0,1,8,34
"17",1,0,2,4,34
"18",2,1100,3,1,34
"19",0,0,1,4,34
"20",8,0,4,3,34
"21",0,0,1.5,4,34
"22",0,0,1,4,34
"23",1,0,1.5,4,34
"24",1,0,1.75,4,34
"25",1,0,1.5,8,34
"26",1,0,1,8,34
"27",1,0,1,4,34
"28",0,0,1.25,4,34
"29",2,1700,2.75,1,34
"30",0,0,1.75,4,34
"31",7,1600,2.5,1,34
"32",0,0,2,4,34
"33",1,0,1.5,4,34
"34",1,0,1.75,4,34
"35",1,2500,2,1,34
"36",0,0,1.5,8,34
"37",1,0,1.25,4,34
"38",0,0,1,4,34
"39",1,0,2,4,34
"40",0,0,1.5,4,34
"41",1,1750,2,1,34
"42",1,0,2,7,34
"43",1,0,1,7,34
"44",10,1900,3,1,34
"45",0,0,1,4,34
